chr,ps,AFD,maf,bpstart,bpend
1085,1113873,0.04058299999999992,0.129,1113873,1113873
1085,5370111,0.30063000000000006,0.115,5370111,5370111
1085,1758668,0.26950299999999994,0.261,1758668,1758668
1085,1713656,0.248621,0.18,1713656,1713656
1085,5909586,0.01733699999999993,0.274,5909586,5909586
1085,7809325,0.643814,0.325,7809325,7809325
1085,4250945,0.02758099999999996,0.253,4250945,4250945
1085,5755749,0.00945600000000002,0.194,5755749,5755749
1085,2349652,0.379433,0.481,2349652,2349652
1085,8092367,0.35185200000000005,0.24,8092367,8092367
1085,1599909,0.121355,0.133,1599909,1599909
1085,1307355,0.09456200000000003,0.253,1307355,1307355
1085,3938214,0.008668,0.366,3938214,3938214
1085,3968940,0.09141099999999992,0.182,3968940,3968940
1085,8288585,0.182033,0.284,8288585,8288585
1085,3936485,0.03546099999999996,0.387,3936485,3936485
1085,5881565,0.07761999999999991,0.131,5881565,5881565
1085,3356144,0.04215899999999994,0.108,3356144,3356144
1085,746237,0.03940200000000005,0.14,746237,746237
1085,2304815,0.00394000000000005,0.27,2304815,2304815
1085,1073026,0.02600499999999994,0.108,1073026,1073026
1085,2382591,0.10480699999999998,0.263,2382591,2382591
1085,3462549,0.12963000000000002,0.376,3462549,3462549
1085,7596667,0.00669799999999998,0.392,7596667,7596667
1085,2503738,0.130811,0.196,2503738,2503738
1085,5222984,0.02600499999999994,0.125,5222984,5222984
1085,5899502,0.15839199999999998,0.12,5899502,5899502
1085,1342966,0.143814,0.141,1342966,1342966
1085,9263581,0.06067800000000001,0.127,9263581,9263581
1085,9870167,0.18479100000000004,0.246,9870167,9870167
1085,4171611,0.01418399999999997,0.106,4171611,4171611
1085,6196521,0.04334100000000007,0.224,6196521,6196521
1085,9609280,0.02600499999999994,0.348,9609280,9609280
1085,5926378,0.34279,0.357,5926378,5926378
1085,1722961,0.340426,0.36,1722961,1722961
1085,2446880,0.308905,0.313,2446880,2446880
1085,980441,0.04294700000000007,0.131,980441,980441
1085,1207014,0.02482200000000001,0.3,1207014,1207014
1085,4869510,0.00984999999999991,0.168,4869510,4869510
1085,3517446,0.01930599999999993,0.339,3517446,3517446
1085,822028,0.20094500000000004,0.141,822028,822028
1085,3358812,0.14184399999999997,0.145,3358812,3358812
1085,5229653,0.26162399999999997,0.18,5229653,5229653
1085,7680356,0.197006,0.125,7680356,7680356
1085,8251164,0.10835300000000005,0.138,8251164,8251164
1085,4810856,0.5059100000000001,0.306,4810856,4810856
1085,2418182,0.18518500000000004,0.143,2418182,2418182
1085,7170559,0.05082699999999995,0.11,7170559,7170559
1085,2303424,0.143814,0.392,2303424,2303424
1085,2437042,0.150118,0.31599999999999995,2437042,2437042
1085,4734392,0.05437399999999992,0.203,4734392,4734392
1085,5217878,0.0350674,0.16400000000000003,5217878,5217878
1085,5403081,0.2557130000000001,0.102,5403081,5403081
1085,10884876,0.01378999999999996,0.177,10884876,10884876
1085,5924894,0.03585499999999997,0.281,5924894,5924894
1085,8282392,0.115051,0.127,8282392,8282392
1085,6562002,0.18597299999999992,0.419,6562002,6562002
1085,4014509,0.090623,0.11,4014509,4014509
1085,3104783,0.00354599999999993,0.318,3104783,3104783
1085,8278683,0.14105500000000004,0.124,8278683,8278683
1085,4206740,0.5453115000000001,0.261,4206740,4206740
1085,1722054,0.0752560000000001,0.307,1722054,1722054
1085,9737283,0.06698099999999996,0.102,9737283,9737283
1085,2399308,0.29866100000000007,0.233,2399308,2399308
1085,2507892,0.07131600000000005,0.117,2507892,2507892
1085,10680682,0.581561,0.33899999999999997,10680682,10680682
1085,5352588,0.29275000000000007,0.269,5352588,5352588
1085,8483239,0.348699,0.145,8483239,8483239
1085,5911784,0.04885799999999996,0.235,5911784,5911784
1085,2347999,0.00709300000000001,0.159,2347999,2347999
1085,3468699,0.388889,0.212,3468699,3468699
1085,1770620,0.264381,0.31299999999999994,1770620,1770620
1085,3359343,0.105201,0.198,3359343,3359343
1085,6068074,0.07367999999999997,0.14,6068074,6068074
1085,1770340,0.14539000000000002,0.357,1770340,1770340
1085,10001609,0.07565,0.307,10001609,10001609
1085,2383166,0.00157600000000002,0.263,2383166,2383166
1085,7438300,0.11111099999999996,0.117,7438300,7438300
1085,6423764,0.400315,0.445,6423764,6423764
1085,1332407,0.10244299999999996,0.258,1332407,1332407
1085,187568,0.235225,0.233,187568,187568
1085,3071410,0.05555599999999999,0.472,3071410,3071410
1085,4696159,0.212766,0.481,4696159,4696159
1085,5780372,0.14972400000000008,0.212,5780372,5780372
1085,1717993,0.3325450000000001,0.327,1717993,1717993
1085,5774698,0.09141099999999992,0.221,5774698,5774698
1085,1312007,0.20803799999999997,0.228,1312007,1312007
1085,1079366,0.008274,0.125,1079366,1079366
1085,1082524,0.02364100000000002,0.102,1082524,1082524
1085,9058231,0.2186760000000001,0.398,9058231,9058231
1085,4867152,0.05358600000000002,0.102,4867152,4867152
1085,2334816,0.07249799999999995,0.32,2334816,2334816
1085,4858016,0.388889,0.253,4858016,4858016
1085,9551187,0.08116699999999999,0.201,9551187,9551187
1085,2394580,0.36249,0.269,2394580,2394580
1085,8284213,0.10165500000000004,0.106,8284213,8284213
1085,7676621,0.008668,0.143,7676621,7676621
1085,8994517,0.06146499999999999,0.125,8994517,8994517
1085,3409553,0.00551599999999996,0.101,3409553,3409553
1085,6424467,0.09495699999999996,0.108,6424467,6424467
1085,3448117,0.12371999999999994,0.187,3448117,3448117
1085,1272612,0.008668,0.11,1272612,1272612
1085,7089091,0.11544500000000002,0.21599999999999997,7089091,7089091
1085,1312454,0.24428699999999992,0.412,1312454,1312454
1085,10075718,0.0311269999999999,0.133,10075718,10075718
1085,989827,0.180851,0.406,989827,989827
1085,855790,0.06461800000000006,0.214,855790,855790
1085,5768433,0.13632699999999998,0.382,5768433,5768433
1085,8388755,0.00945600000000002,0.21,8388755,8388755
1085,5990637,0.03427900000000006,0.108,5990637,5990637
1085,2410242,0.23010299999999995,0.272,2410242,2410242
1085,2409487,0.332939,0.143,2409487,2409487
1085,6380801,0.224587,0.21399999999999997,6380801,6380801
1085,6254522,0.425532,0.129,6254522,6254522
1085,2367586,0.20803800000000008,0.263,2367586,2367586
1085,2981264,0.105201,0.233,2981264,2981264
1085,1716044,0.25334899999999994,0.224,1716044,1716044
1085,1205089,0.23601300000000003,0.451,1205089,1205089
1085,187524,0.311662,0.184,187524,187524
1085,4686732,0.15011799999999997,0.246,4686732,4686732
1085,2963946,0.595745,0.182,2963946,2963946
1085,8290926,0.12963000000000002,0.134,8290926,8290926
1085,5286419,0.02718699999999996,0.32699999999999996,5286419,5286419
1085,7066834,0.05673700000000004,0.148,7066834,7066834
1085,1343316,0.28526399999999996,0.23,1343316,1343316
1085,2437009,0.07446799999999998,0.4419999999999999,2437009,2437009
1085,9697082,0.303389,0.106,9697082,9697082
1085,197711,0.107565,0.246,197711,197711
1085,4432939,0.4334125999999999,0.34099999999999997,4432939,4432939
1085,1715350,0.12963000000000002,0.102,1715350,1715350
1085,1359107,0.20882599999999996,0.11,1359107,1359107
1085,8351168,0.272262,0.246,8351168,8351168
1085,3798415,0.06304199999999993,0.138,3798415,3798415
1085,3996676,0.174547,0.122,3996676,3996676
1085,8073327,0.31481499999999996,0.168,8073327,8073327
1085,2465743,0.08707700000000007,0.104,2465743,2465743
1085,39331,0.287234,0.345,39331,39331
1085,10620965,0.285658,0.228,10620965,10620965
1085,9686160,0.01378999999999996,0.311,9686160,9686160
1085,4836646,0.2104014,0.15700000000000003,4836646,4836646
1085,162549,0.03309699999999993,0.258,162549,162549
1085,2465279,0.28486999999999996,0.187,2465279,2465279
1085,7585332,0.07486199999999998,0.129,7585332,7585332
1085,3938312,0.038219,0.214,3938312,3938312
1085,2344735,0.08825799999999995,0.203,2344735,2344735
1085,7977193,0.05122099999999996,0.189,7977193,7977193
1085,4310240,0.02048799999999995,0.12,4310240,4310240
1085,5253867,0.083924,0.196,5253867,5253867
1085,8486317,0.07880200000000004,0.147,8486317,8486317
1085,2420251,0.29472099999999996,0.491,2420251,2420251
1085,8313985,0.17927499999999996,0.207,8313985,8313985
1085,3442954,0.24625699999999995,0.496,3442954,3442954
1085,8395553,0.205279,0.369,8395553,8395553
1085,7587188,0.10086699999999998,0.486,7587188,7587188
1085,5787888,0.295902,0.242,5787888,5787888
1085,7489915,0.128842,0.205,7489915,7489915
1085,1740651,0.13475199999999998,0.163,1740651,1740651
1085,8413702,0.3853430000000001,0.454,8413702,8413702
1085,3938160,0.01773100000000005,0.133,3938160,3938160
1085,2382142,0.23207199999999992,0.33,2382142,2382142
1085,7641274,0.07092200000000004,0.155,7641274,7641274
1085,7125458,0.12332599999999994,0.27,7125458,7125458
1085,2901747,0.11347600000000002,0.155,2901747,2901747
1085,10823716,0.438141,0.493,10823716,10823716
1085,7789728,0.801024,0.353,7789728,7789728
1085,2564465,0.17966900000000008,0.12,2564465,2564465
1085,4834500,0.29117400000000004,0.28400000000000003,4834500,4834500
1085,5099623,0.02876279999999999,0.16400000000000003,5099623,5099623
1085,1075592,0.17651699999999992,0.311,1075592,1075592
1085,4451272,0.46178099999999994,0.405,4451272,4451272
1085,2522161,0.113081,0.191,2522161,2522161
1085,10804121,0.12017299999999996,0.117,10804121,10804121
1085,2406127,0.423167,0.161,2406127,2406127
1085,6344248,0.08589500000000005,0.143,6344248,6344248
1085,1082015,0.00472799999999995,0.115,1082015,1082015
1085,2502156,0.5665875,0.16100000000000003,2502156,2502156
1085,8208344,0.17966900000000008,0.148,8208344,8208344
1085,685667,0.11544500000000002,0.231,685667,685667
1085,2285214,0.01418399999999997,0.23,2285214,2285214
1085,7668362,0.17139499999999996,0.148,7668362,7668362
1085,8408623,0.01221499999999997,0.244,8408623,8408623
1085,1086369,0.11347600000000002,0.113,1086369,1086369
1085,1283331,0.02600499999999994,0.136,1283331,1283331
1085,1757278,0.408195,0.456,1757278,1757278
1085,1954766,0.399133,0.396,1954766,1954766
1085,1113096,0.08983400000000002,0.34299999999999997,1113096,1113096
1085,2408662,0.303783,0.113,2408662,2408662
1085,2353209,0.126871,0.39,2353209,2353209
1085,6300667,0.03349100000000005,0.405,6300667,6300667
1085,680592,0.00197000000000002,0.163,680592,680592
1085,5004434,0.08628899999999995,0.173,5004434,5004434
1085,8303781,0.15011799999999997,0.258,8303781,8303781
1085,5900110,0.375886,0.306,5900110,5900110
1085,5778339,0.113081,0.115,5778339,5778339
1085,3350426,0.09180500000000004,0.131,3350426,3350426
1085,6262435,0.348699,0.189,6262435,6262435
1085,6415396,0.10204899999999996,0.261,6415396,6415396
1085,8303923,0.13159900000000002,0.292,8303923,8303923
1085,2446081,0.15681700000000004,0.498,2446081,2446081
1085,7719161,0.08904600000000007,0.274,7719161,7719161
1085,3391880,0.10007900000000004,0.141,3391880,3391880
1085,4133113,0.16903100000000004,0.111,4133113,4133113
1085,5179006,0.165485,0.131,5179006,5179006
1085,5773974,0.04373499999999997,0.269,5773974,5773974
1085,4193061,0.01497200000000009,0.235,4193061,4193061
1085,2372063,0.030339,0.281,2372063,2372063
1085,5876961,0.327817,0.247,5876961,5876961
1085,4156214,0.180457,0.477,4156214,4156214
